id	kloeke	place	province	country	dictionary	point
2384	B053a	Boksum	Fr	NL		53.1786, 5.7225
2385	B053p	Deinum	Fr	NL		53.196, 5.72055
2386	B053q	Blessum	Fr	NL		53.1855, 5.70128
2387	B054p	Cornjum / Koarnjum	Fr	NL		53.2513, 5.78177
2388	B055a	Lekkum	Fr	NL		53.2237, 5.82098
2389	B055p	Jelsum	Fr	NL		53.237, 5.77385
2390	B056p	Leeuwarden / Ljouwert	Fr	NL		53.2088, 5.81512
2391	B057a	Goutum	Fr	NL		53.1764, 5.80339
2392	B057b	Hempens / Himpens	Fr	NL		53.1903, 5.76306
2393	B057p	Huizum / Huzum	Fr	NL		53.1926, 5.81081
2394	B058a	Rijperkerk / Ryptsjerk	Fr	NL		53.2277, 5.91502
2395	B058b	Giekerk / Gytsjerk	Fr	NL		53.2463, 5.86901
2396	B058p	Tietjerk / Tytsjerk	Fr	NL		53.2083, 5.92931
2397	B059p	Hardegarijp / Hurdegaryp	Fr	NL		53.2236, 5.94145
2398	B060a	Noordbergum / Noardburgum	Fr	NL		53.2305, 5.97945
2399	B060b	Veenwoudsterwal / Veenwoudsterwald	Fr	NL		53.2384, 5.96605
2400	B060p	Veenwouden / Feanwalden	Fr	NL		53.2455, 5.98485
2401	B061a	Garijp / Garyp	Fr	NL		53.1738, 5.98075
2402	B061p	Suawoude / Suwald	Fr	NL		53.1841, 5.92278
2403	B062p	Bergum / Burgum	Fr	NL		53.1984, 5.98679
2404	B063p	Suameer / Sumar	Fr	NL		53.1815, 6.0016
2405	B064a	Drogeham / Droegeham	Fr	NL		53.2092, 6.1162
2406	B064b	Kootstertille / Koatstertille	Fr	NL		53.2181, 6.09817
2407	B064p	Eestrum / Jistrum	Fr	NL		53.2219, 6.07643
2408	B065a	Schuilenburg / Skulenboarch	Fr	NL		53.2107, 6.06898
2409	B065b	Hoogzand / It Heechsan	Fr	NL		53.1859, 6.10128
2410	B065p	Oostermeer / Eastermar	Fr	NL		53.1907, 6.07904
2411	B066p	Twijzel / Twizel	Fr	NL		53.2448, 6.10692
2412	B066q	Twijzelerheide / Twizelerheide	Fr	NL		53.2504, 6.05818
2413	B067a	Harkema Opeinde / De Harkema	Fr	NL		53.2131, 6.14481
2414	B067p	Augustinusga / Stynsgea	Fr	NL		53.2229, 6.17199
2415	B068p	Surhuisterveen / Surhusterfean	Fr	NL		53.1892, 6.17501
2416	B068q	Blauwhuis / Blauhs	Fr	NL		53.1814, 6.13129
2417	B069a	Gerkesklooster-Stroobos / Stroobos	Fr	NL		53.2393, 6.22579
2418	B069b	Gerkesklooster / Gerkeskleaster	Fr	NL		53.246, 6.21293
2419	B069p	Surhuizum / Surhuzum	Fr	NL		53.2103, 6.19252
2420	B070p	Lutjegast	Gn	NL		53.2359, 6.27507
2421	B071a	Oldekerk	Gn	NL		53.2319, 6.34302
2422	B071p	Sebaldeburen	Gn	NL		53.2246, 6.32261
2423	B071q	Kuzemer	Gn	NL		53.2145, 6.34264
2424	B072a	Lucaswolde	Gn	NL		53.1913, 6.32396
2425	B072p	Grootegast	Gn	NL		53.2161, 6.29024
2426	B073p	Doezum	Gn	NL		53.2039, 6.26091
2427	B074a	Kornhorn	Gn	NL		53.1834, 6.25427
2428	B074p	Opende	Gn	NL		53.1742, 6.23179
2429	B075p	Noordwijk	Gn	NL		53.1748, 6.27796
2430	B076a	Kimswerd / Kimswert	Fr	NL		53.1435, 5.43613
2431	B076p	Achlum	Fr	NL		53.1491, 5.48175
2432	B077p	Arum	Fr	NL		53.1307, 5.47394
2433	B078p	Pingjum / Penjum	Fr	NL		53.1161, 5.44024
2434	B079p	Zurich / Surch	Fr	NL		53.1152, 5.39984
2435	B080a	Wons / Wuns	Fr	NL		53.0974, 5.41019
2436	B080p	Witmarsum / Wytmarsum	Fr	NL		53.1042, 5.46767
2437	B081p	Tzum / Tsjom	Fr	NL		53.1615, 5.56059
2438	B081q	Ruigelollum / Lollum	Fr	NL		53.131, 5.53094
2439	G012t	Drouwenerveen	Dr	NL		52.9653, 6.85854
2440	B082p	Spannum	Fr	NL		53.148, 5.602
2441	B083a	Kubaard / Kubaerd	Fr	NL		53.1253, 5.56925
2442	B083b	Oosterlittens / Easterlittens	Fr	NL		53.1389, 5.64497
2443	B083p	Baard / Baerd [Jorwert]	Fr	NL		53.1488, 5.66473
2444	B084a	Lutkewierum / Lytsewierrum	Fr	NL		53.0909, 5.66125
2445	B084b	Itens	Fr	NL		53.1049, 5.64166
2446	C079u	Oling	Gn	NL		53.3079, 6.84368
2447	B084d	Burgwerd / Burchwert	Fr	NL		53.0923, 5.5453
2448	C024p	Leens	Gn	NL		53.3722, 6.3701
2449	B084p	Wommels	Fr	NL		53.1106, 5.58525
2450	B085a	Hijlaard / Hilaard	Fr	NL		53.1655, 5.70632
2451	B085b	Wijtgaard / Wytgaerd	Fr	NL		53.1382, 5.78333
2452	B085p	Weidum	Fr	NL		53.1458, 5.73572
2453	B085z	Jellum	Fr	NL		53.1689, 5.73694
2454	B014t	Nes	Fr	NL		53.407, 6.07835
2455	B087p	Mantgum	Fr	NL		53.1309, 5.71746
2456	B087z	Schillaard / Skillaerd	Fr	NL		53.1216, 5.70237
2457	B089a	Britswerd / Britswert	Fr	NL		53.1133, 5.66864
2458	B089p	Wieuwerd / Wiuwert	Fr	NL		53.1126, 5.68625
2459	F047b	Noordwolde-Zuid	Fr	NL		52.8764, 6.15167
2460	B091p	Deersum / Dearsum	Fr	NL		53.0882, 5.71766
2461	B092a	Friens	Fr	NL		53.101, 5.80008
2462	B092b	Idaard / Idaerd	Fr	NL		53.12, 5.81218
2463	B092c	Rauwerderhem	Fr	NL		53.0838, 5.74557
2464	B092p	Rauwerd / Raerd	Fr	NL		53.099, 5.75605
2465	B018b	Westhoek	Fr	NL		53.2714, 5.55778
2466	B092z	Flansum	Fr	NL		53.0906, 5.76944
2467	B093a	Wartena / Warten	Fr	NL		53.1505, 5.89956
2468	B093b	Warstiens	Fr	NL		53.1659, 5.86552
2469	B093p	Warga / Wergea	Fr	NL		53.1517, 5.84566
2470	B094p	Grouw / Grou	Fr	NL		53.0984, 5.84407
2471	B095p	Eernewoude / Earnewald	Fr	NL		53.1316, 5.94079
2472	C024q	Zuurdijk	Gn	NL		53.3481, 6.38414
2473	B096a	Goengahuizen / Goaiingahuzen	Fr	NL		53.0991, 5.90983
2474	B019c	Nij Altoenae / Nij Altena	Fr	NL		53.2956, 5.65306
2475	B096q	De Veenhoop / De Feanhoop	Fr	NL		53.0973, 5.96417
2476	B097a	De Tike	Fr	NL		53.1567, 6.04739
2477	B097p	Nijega / Nijegea	Fr	NL		53.1462, 6.02754
2478	B097q	De Suameerdertike / De Sumardertike	Fr	NL		53.1675, 6.05067
2479	B098a	Witveen / It Wytfean	Fr	NL		53.166, 6.10873
2480	B098b	Houtigehage	Fr	NL		53.1449, 6.13636
2481	B098p	Rottevalle / De Rottefalle	Fr	NL		53.1475, 6.11464
2482	B099a	Opeinde / De Pein	Fr	NL		53.1374, 6.08441
2483	B099b	Drachtstercompagnie / Drachtster Kompenije	Fr	NL		53.1389, 6.15647
2484	B099c	De Folgeren / Folgeren	Fr	NL		53.1274, 6.10135
2485	B099d	De Wilgen / De Wylgen	Fr	NL		53.1031, 6.04347
2486	B099p	Drachten	Fr	NL		53.0952, 6.1091
2487	B100p	Ureterp / Urterp	Fr	NL		53.0855, 6.17105
2488	B101p	Marum	Gn	NL		53.1472, 6.25873
2489	B102p	Nuis	Gn	NL		53.1499, 6.31788
2490	B103p	Niebert	Gn	NL		53.1646, 6.34361
2491	B104p	De Wilp	Gn	NL		53.1207, 6.26494
2492	B105a	Frieschepalen / Fryske Peallen	Fr	NL		53.1107, 6.2176
2493	B105p	Siegerswoude / Sigerswald	Fr	NL		53.0941, 6.22816
2494	B106a	Exmorra / Eksmoarre	Fr	NL		53.0637, 5.46812
2495	G078t	Dalerveen	Dr	NL		52.6987, 6.81882
2496	B107a	Idsegahuizum / Skuzun	Fr	NL		53.0503, 5.42465
2497	B107p	Piaam / Piaem	Fr	NL		53.0447, 5.4112
2498	B108a	Dedgum / Dedzjum	Fr	NL		53.0462, 5.51152
2499	B108p	Tjerkwerd / Tsjerkwert	Fr	NL		53.0462, 5.51152
2500	B109a	Ferwoude / Ferwalde	Fr	NL		53.0108, 5.43598
2501	B109h	Gaast	Fr	NL		53.0245, 5.41636
2502	B109p	Parrega / Parregea	Fr	NL		53.0248, 5.48097
2503	B110a	Hidaard	Fr	NL		53.0807, 5.60271
2504	B110b	Hartwerd / Hartwert	Fr	NL		53.0727, 5.56489
2505	C025p	Wehe	Gn	NL		53.3716, 6.41021
2506	B110p	Bolsward / Boalsert	Fr	NL		53.0696, 5.52504
2507	B111a	Tirns / Turns	Fr	NL		53.0626, 5.62331
2508	F042s	Sonnega	Fr	NL		52.871, 5.96839
2509	B111c	Roodhuis / Reahus	Fr	NL		53.0756, 5.63684
2510	B111h	Tjalhuizum / Tsjalhuzum	Fr	NL		53.0489, 5.616
2511	B111p	Nijland / Nijlan	Fr	NL		53.0574, 5.57518
2512	B112p	Sneek / Snits	Fr	NL		53.0341, 5.66607
2513	B113a	Nieuwezijl / Nijesyl	Fr	NL		53.0122, 5.59462
2514	B113b	Abbega / Abbegea	Fr	NL		53.0172, 5.56932
2515	B113p	Oosthem / Easthim	Fr	NL		53.0202, 5.60292
2516	B114p	Ijlst / Drylts	Fr	NL		53.0255, 5.61691
2517	B115a	Gauw / Gau	Fr	NL		53.0633, 5.71126
2518	B115p	Scharnegoutum / Skearnegoutum	Fr	NL		53.0562, 5.68379
2519	B117a	Terkaple	Fr	NL		53.0251, 5.78075
2520	B117b	Uitwellingerga / Twellingea	Fr	NL		53.01, 5.70415
2521	B117c	Akmarijp / Eagmaryp	Fr	NL		53.0132, 5.7915
2522	B117p	Oppenhuizen / Toppenhuzen	Fr	NL		53.0204, 5.69337
2523	B119p	Irnsum / Jirnsum	Fr	NL		53.0777, 5.78744
2524	B120a	Terhorne / Terherne	Fr	NL		53.0456, 5.78249
2525	B120p	Akkrum	Fr	NL		53.0505, 5.83063
2526	G048a	Hees	Dr	NL		52.7508, 6.36972
2527	B121a	Gersloot / Gersleat	Fr	NL		53.0094, 5.96817
2528	B121b	Tijnje / Tynje	Fr	NL		53.0326, 6.00053
2529	B121j	Nij Beets	Fr	NL		53.075, 5.9913
2530	B121p	Oldeboorn / Aldeboarn	Fr	NL		53.049, 5.89474
2531	B121q	Sorremorre / Soarremoarre	Fr	NL		53.0706, 5.86654
2532	B122p	Boornbergum / Boarnburgum	Fr	NL		53.0825, 6.05299
2533	F074t	Werkhorst Koedijkslanden	Dr	NL		52.6856, 6.18494
2534	B123b	Olterterp	Fr	NL		53.0719, 6.10768
2535	B123p	Beetsterzwaag / Beetstersweach	Fr	NL		53.0617, 6.08682
2536	B123q	Lippenhuizen / Lippenhuzen	Fr	NL		53.023, 6.10325
2537	B124a	Hemrik / Himrik	Fr	NL		53.0317, 6.14579
2538	B124p	Gorredijk / De Gordyk	Fr	NL		53.0079, 6.06994
2539	B124q	Terwispel	Fr	NL		53.0236, 6.04692
2540	B125p	Wijnjeterp / Wynjewald	Fr	NL		53.0426, 6.19459
2541	B126p	Duurswoude / Duerswald	Fr	NL		53.066, 6.23641
2542	B127p	Bakkeveen / Bakkefean	Fr	NL		53.0801, 6.27033
2543	G075b	Alteveer	Dr	NL		52.6864, 6.47988
2544	C187a	Alteveer	Gn	NL		53.0579, 6.99567
2545	B128a	Waskemeer / De Waskemar	Fr	NL		53.0593, 6.29784
2546	B128p	Haulerwijk / Haulerwyk	Fr	NL		53.0687, 6.33219
2547	B129p	Haule / De Haule	Fr	NL		53.0392, 6.32689
2548	B130p	Donkerbroek	Fr	NL		53.0185, 6.26132
2549	C001a	Roodeschool	Gn	NL		53.4229, 6.7615
2550	C001b	Valom	Gn	NL		53.4489, 6.69707
2551	C001c	Koningsoord	Gn	NL		53.4377, 6.80424
2552	C001h	Hefswal	Gn	NL		53.4257, 6.73863
2553	C001p	Oudeschip	Gn	NL		53.4292, 6.83788
2554	C022p	Hornhuizen	Gn	NL		53.3951, 6.35551
2555	C026a	Westernieland	Gn	NL		53.4091, 6.4716
2556	C026b	Pieterburen	Gn	NL		53.409, 6.44709
2557	C026c	Saaxumhuizen	Gn	NL		53.3885, 6.47473
2558	C027a	Mensingeweer	Gn	NL		53.3565, 6.46507
2559	C027p	Warfhuizen	Gn	NL		53.3503, 6.42481
2560	C028p	Den Andel	Gn	NL		53.3944, 6.5072
2561	C029p	Warffum	Gn	NL		53.3995, 6.55791
2562	C030p	Usquert	Gn	NL		53.4065, 6.60504
2563	C031p	Uithuizen	Gn	NL		53.4095, 6.65415
2564	C032a	Onderdendam	Gn	NL		53.3413, 6.58914
2565	C032p	Baflo	Gn	NL		53.3679, 6.51016
2566	C032z	Tinallinge	Gn	NL		53.3605, 6.5381
2567	C033a	Stitswerd	Gn	NL		53.3652, 6.59658
2568	C033p	Kantens	Gn	NL		53.3698, 6.63735
2569	C034a	Westerwijtwerd	Gn	NL		53.3325, 6.65189
2570	C034p	Middelstum	Gn	NL		53.3511, 6.63628
2571	C034q	Huizinge	Gn	NL		53.3454, 6.67257
2572	C035p	Uithuizermeeden	Gn	NL		53.4151, 6.70491
2573	C035z	Oldenzijl	Gn	NL		53.4007, 6.71542
2574	C036a	Zijldijk	Gn	NL		53.3952, 6.76009
2575	C036b	Kolhol	Gn	NL		53.4042, 6.79114
2576	C036p	Oosternieland	Gn	NL		53.4081, 6.74903
2577	C037p	Zandeweer	Gn	NL		53.3936, 6.67818
2578	C038a	Garsthuizen	Gn	NL		53.3736, 6.71042
2579	C038p	Westeremden	Gn	NL		53.3494, 6.70863
2580	C039p	Zeerijp	Gn	NL		53.3513, 6.75661
2581	C040p	t Zandt	Gn	NL		53.3705, 6.76764
2582	C041a	Leermens	Gn	NL		53.3508, 6.80034
2583	C041b	Oosterwijtwerd	Gn	NL		53.3423, 6.81256
2584	C041p	Godlinze	Gn	NL		53.3781, 6.80801
2585	G196t	De Banis	Ov	NL		52.3001, 6.4902
2586	C042q	Polen	Gn	NL		53.4106, 6.85707
2587	C043p	Bierum	Gn	NL		53.3866, 6.8599
2588	C043q	Losdorp	Gn	NL		53.381, 6.82687
2589	C044p	Holwierde	Gn	NL		53.3622, 6.86792
2590	C044q	Krewerd	Gn	NL		53.3577, 6.84797
2591	C045p	Delfzijl	Gn	NL		53.3369, 6.91912
2592	C045z	Uitwierde	Gn	NL		53.3474, 6.89918
2593	C062a	Schouwerzijl	Gn	NL		53.336, 6.45258
2594	G091l	De Stapel	Dr	NL		52.63, 6.44569
2595	C063a	Niehove	Gn	NL		53.2947, 6.36314
2596	C063b	Balmahuizen	Gn	NL		53.2803, 6.36749
2597	C063p	Oldehove	Gn	NL		53.3113, 6.39369
2598	C064a	Feerwerd	Gn	NL		53.3119, 6.46291
2599	C064p	Ezinge	Gn	NL		53.3153, 6.43229
2600	C064z	Saaksum	Gn	NL		53.3176, 6.4157
2601	C065p	Garnwerd	Gn	NL		53.3092, 6.48574
2602	C066p	Niezijl	Gn	NL		53.2731, 6.33354
2603	C067p	Noordhorn	Gn	NL		53.2677, 6.39216
2604	C068h	Fransum	Gn	NL		53.2831, 6.44919
2605	C068p	Aduard	Gn	NL		53.2606, 6.45488
2606	C070a	Sint-Annen	Gn	NL		53.3041, 6.65625
2607	C070p	Bedum	Gn	NL		53.3063, 6.59909
2608	C071a	Sauwerd	Gn	NL		53.2991, 6.53438
2609	C071b	Gr Kl Wetsinge	Gn	NL		53.311, 6.53105
2610	C071p	Adorp	Gn	NL		53.2806, 6.54377
2611	G091w	Pieperij	Dr	NL		52.63, 6.44569
2612	C073a	Thesinge	Gn	NL		53.2724, 6.64597
2613	C073p	Zuidwolde	Gn	NL		53.2662, 6.58653
2614	C074p	Stedum	Gn	NL		53.3236, 6.69691
2615	C075p	Loppersum	Gn	NL		53.3312, 6.74607
2616	C076a	Ten Post	Gn	NL		53.2996, 6.73155
2617	C076b	Lellens	Gn	NL		53.303, 6.70669
2618	C076p	Ten Boer	Gn	NL		53.2785, 6.69502
2619	C077p	Woltersum	Gn	NL		53.2712, 6.73587
2620	C077q	Wittewierum	Gn	NL		53.2878, 6.75199
2621	C078a	Overschild	Gn	NL		53.2824, 6.79238
2622	C078b	Garreweer	Gn	NL		53.3122, 6.82353
2623	C078p	Schildhuizen	Gn	NL		53.2918, 6.81453
2624	C079a	Opwierde	Gn	NL		53.3146, 6.87982
2625	C079b	Tjamsweer	Gn	NL		53.326, 6.84169
2626	C079p	Appingedam	Gn	NL		53.3236, 6.86503
2627	C080p	Farmsum	Gn	NL		53.3243, 6.93169
2628	C081p	Weiwerd	Gn	NL		53.311, 6.9489
2629	C082p	Heveskes	Gn	NL		53.311, 6.97076
2630	C083p	Oterdummerwarven	Gn	NL		53.3057, 6.99658
2631	C084p	Meedhuizen	Gn	NL		53.2883, 6.9148
2632	C085p	Wagenborgen	Gn	NL		53.2563, 6.93497
2633	C086p	Borgsweer	Gn	NL		53.2932, 7.01744
2634	C087p	Termunten	Gn	NL		53.2875, 7.04791
2635	C088p	Woldendorp	Gn	NL		53.2706, 7.03011
2636	C099a	Hoge Meeden	Gn	NL		53.2461, 6.43945
2637	C099p	Zuidhorn	Gn	NL		53.2492, 6.40835
2638	C099q	Briltil	Gn	NL		53.244, 6.3916
2639	C101p	Leegkerk	Gn	NL		53.2336, 6.48174
2640	C102p	Lage Meeden	Gn	NL		53.2257, 6.45246
2641	C102z	Den Horn	Gn	NL		53.2327, 6.43289
2642	C103a	Roderwolde	Dr	NL		53.1732, 6.47451
2643	C103p	Oostwold	Gn	NL		53.2074, 6.44318
2644	C104a	Pasop	Gn	NL		53.2112, 6.39759
2645	C104p	Lettelbert	Gn	NL		53.1967, 6.41646
2646	C105p	Midwolda	Gn	NL		53.1872, 6.39807
2647	C106p	Tolbert	Gn	NL		53.1801, 6.36159
2648	C107p	Hoogkerk	Gn	NL		53.221, 6.49544
2649	C108a	Noorderhoogebrug	Gn	NL		53.248, 6.56887
2650	C108p	Groningen	Gn	NL		53.2164, 6.55243
2651	C108q	Helpman	Gn	NL		53.1951, 6.58975
2652	C109a	Garmerwolde	Gn	NL		53.2472, 6.64835
2653	C109b	Oosterhoogebrug	Gn	NL		53.2281, 6.59741
2654	C109p	Noorddijk	Gn	NL		53.2446, 6.62489
2655	C110p	Middelbert	Gn	NL		53.2267, 6.6384
2656	C111p	Euvelgunne	Gn	NL		53.2088, 6.62179
2657	C112p	Engelbert	Gn	NL		53.212, 6.65043
2658	C112z	Waterhuizen	Gn	NL		53.1935, 6.65612
2659	C113q	Eelderwolde	Dr	NL		53.1753, 6.54873
2660	C114a	Borgweg	Gn	NL		53.1827, 6.70821
2661	C114b	Foxhol	Gn	NL		53.1704, 6.71613
2662	C114c	Foxham	Gn	NL		53.1734, 6.73282
2663	C114p	Westerbroek	Gn	NL		53.1867, 6.68135
2664	C115a	Lageland	Gn	NL		53.2381, 6.71509
2665	C115p	Harkstede	Gn	NL		53.2128, 6.6894
2666	C116p	Scharmer	Gn	NL		53.2097, 6.71059
2667	C117p	Kolham	Gn	NL		53.1848, 6.73577
2668	C118a	Froombosch	Gn	NL		53.191, 6.77384
2669	C118p	Slochteren	Gn	NL		53.2109, 6.80303
2670	C119p	Schildwolde	Gn	NL		53.2344, 6.81419
2671	C120p	Hellum	Gn	NL		53.2403, 6.84504
2672	C121p	Siddeburen	Gn	NL		53.2462, 6.8733
2673	C122p	Nieuwolda	Gn	NL		53.243, 6.9771
2674	C123p	Nieuw-Scheemda	Gn	NL		53.2097, 6.9468
2675	C123q	t Waar	Gn	NL		53.2297, 6.94493
2676	C124p	Noordbroek	Gn	NL		53.2015, 6.88266
2677	C125p	Zuidbroek	Gn	NL		53.172, 6.87179
2678	C126p	Uiterburen	Gn	NL		53.184, 6.88621
2679	C127p	Eexta	Gn	NL		53.1715, 6.96306
2680	C128p	Scheemda	Gn	NL		53.1788, 6.97682
2681	C129p	Midwolda	Gn	NL		53.1945, 7.01424
2682	C130p	Oostwold	Gn	NL		53.2043, 7.05043
2683	C131a	Ekamp	Gn	NL		53.1753, 7.07318
2684	C131p	Finsterwolde	Gn	NL		53.1958, 7.09941
2685	C132p	Beerta	Gn	NL		53.1749, 7.10169
2686	C133a	Ganzedijk	Gn	NL		53.203, 7.12045
2687	C133p	Nieuw Beerta	Gn	NL		53.1858, 7.16543
2688	C134p	Drieborg	Gn	NL		53.2008, 7.18525
2689	C142p	Nieuweschans	Gn	NL		53.1768, 7.20241
2690	C144a	Nietap	Dr	NL		53.1592, 6.40053
2691	C144p	Leek	Gn	NL		53.1692, 6.3992
2692	C144q	Diepswal	Gn	NL		53.1523, 6.36978
2693	C145z	Jonkersvaart	Gn	NL		53.1379, 6.33991
2694	C146a	Roderesch	Dr	NL		53.1119, 6.4248
2695	C146b	Nieuw-Roden	Dr	NL		53.1352, 6.39738
2696	C146g	Terheijl	Dr	NL		53.0971, 6.43895
2697	C146p	Roden	Dr	NL		53.143, 6.43384
2698	C147p	Peize	Dr	NL		53.1528, 6.48436
2699	C148a	Glimmen	Gn	NL		53.1383, 6.62911
2700	C148b	Bunne	Dr	NL		53.1178, 6.53424
2701	C148c	Onnen	Gn	NL		53.1621, 6.64587
2702	C148p	Paterswolde	Dr	NL		53.1546, 6.55959
2703	C148q	Westlaren	Dr	NL		53.0924, 6.64022
2704	C149a	Donderen	Dr	NL		53.0995, 6.55033
2705	C149b	Yde	Dr	NL		53.1141, 6.58802
2706	C149p	Eelde	Dr	NL		53.1476, 6.57132
2707	C149q	Zuideinde	Dr	NL		53.1258, 6.57124
2708	C150p	Noordlaren	Gn	NL		53.1242, 6.66705
2709	C151a	Wolfsbarge	Gn	NL		53.1251, 6.72925
2710	C151p	Kropswolde	Gn	NL		53.1494, 6.72689
2711	C152a	Martenshoek	Gn	NL		53.1623, 6.74648
2712	C152p	Hoogezand	Gn	NL		53.164, 6.76157
2713	C152z	Kalkwijk	Gn	NL		53.1463, 6.78485
2714	C153p	Sappemeer	Gn	NL		53.1623, 6.79782
2715	C154a	Kiel-Windeweer	Gn	NL		53.1102, 6.78006
2716	C154p	Zuidlaarderveen	Dr	NL		53.0993, 6.75434
2717	C154q	Annerveen	Dr	NL		53.0875, 6.77106
2718	C155p	Zuidlaren	Dr	NL		53.0935, 6.68478
2719	C156a	Tripscompagnie	Gn	NL		53.122, 6.83847
2720	C156p	Muntendam	Gn	NL		53.1349, 6.87415
2721	C157p	Meeden	Gn	NL		53.1379, 6.93282
2722	C157q	Westerlee	Gn	NL		53.1399, 6.9728
2723	C158p	Heiligerlee	Gn	NL		53.1496, 6.99026
2724	C159p	Veendam	Gn	NL		53.11, 6.8707
2725	C159q	Zuidwending	Gn	NL		53.0968, 6.93446
2726	C160p	Ommelanderwijk	Gn	NL		53.0846, 6.90866
2727	C161p	Winschoten	Gn	NL		53.1418, 7.0387
2728	C162a	Klein-Ulsda	Gn	NL		53.1531, 7.16098
2729	C162p	Oudeschans	Gn	NL		53.1375, 7.14116
2730	C163a	Wedderveer	Gn	NL		53.083, 7.07373
2731	C163p	Oude Pekela	Gn	NL		53.1114, 7.00542
2732	C164p	Blijham	Gn	NL		53.1096, 7.09082
2733	C165p	Bellingwolde	Gn	NL		53.1184, 7.16888
2734	C175p	Een	Dr	NL		53.0888, 6.39112
2735	C176a	Veenhuizen	Dr	NL		53.0333, 6.4038
2736	C176b	Zuidvelde	Dr	NL		53.0443, 6.46352
2737	C176p	Norg	Dr	NL		53.0698, 6.46571
2738	C176q	Westervelde	Dr	NL		53.055, 6.44775
2739	C178p	Zeegse	Dr	NL		53.0674, 6.65192
2740	C179a	Ter Aard	Dr	NL		53.0276, 6.55099
2741	C179b	Peest	Dr	NL		53.0606, 6.5167
2742	C179p	Zeijen	Dr	NL		53.0503, 6.54953
2743	C180q	Peelo	Dr	NL		53.0158, 6.57652
2744	C180z	Taarlo	Dr	NL		53.0346, 6.62873
2745	C181a	Annerveenschekanaal	Dr	NL		53.0747, 6.80377
2746	C181p	Spijkerboor	Dr	NL		53.0737, 6.7789
2747	B052b	Beetgumermolen / Bitgummole	Fr	NL		53.2356, 5.70632
2748	F019u	Bontebok / De Bontebok	Fr	NL		52.9679, 6.04143
2749	C182a	Schipborg	Dr	NL		53.0684, 6.6742
2750	C182p	Annen	Dr	NL		53.0537, 6.73635
2751	C183p	Anloo	Dr	NL		53.0428, 6.70602
2752	C183z	Gasteren	Dr	NL		53.0376, 6.66502
2753	C184a	Anderen	Dr	NL		53.0077, 6.69101
2754	C184p	Eext	Dr	NL		53.0181, 6.74249
2755	C184q	Eexterzandvoort	Dr	NL		53.0318, 6.79306
2756	C185p	Gieten	Dr	NL		53.0056, 6.77207
2757	C186p	Wildervank	Gn	NL		53.0739, 6.86636
2758	C187p	Nieuwe Pekela	Gn	NL		53.0619, 6.95339
2759	C188a	Nieuwediep	Dr	NL		53.04, 6.86314
2760	E070p	Jisp	NH	NL		52.5095, 4.85871
2761	C188p	Gieterveen	Dr	NL		53.0268, 6.84563
2762	C188z	Bonnerveen	Dr	NL		53.0125, 6.84722
2763	C189p	Stadskanaal	Gn	NL		52.9953, 6.94945
2764	C189q	Ter Maarsch	Gn	NL		53.0112, 6.99756
2765	C190a	Holte	Gn	NL		53.0602, 7.05474
2766	C190p	Wedde	Gn	NL		53.0664, 7.08188
2767	C191p	Vriescheloo	Gn	NL		53.0748, 7.12931
2768	C191z	Veelerveen	Gn	NL		53.0539, 7.15123
2769	C192a	Tange	Gn	NL		53.0514, 7.01561
2770	C192p	Onstwedde	Gn	NL		53.0362, 7.03624
2771	C192z	Barlage	Gn	NL		53.0178, 7.0619
2772	C193a	Veele	Gn	NL		53.0424, 7.10215
2773	C193h	Schefert	Gn	NL		53.0373, 7.13556
2774	C193p	Vlagtwedde	Gn	NL		53.0276, 7.11604
2775	C199p	Bourtange	Gn	NL		53.0093, 7.19129
2776	E019p	Koedijk	NH	NL		52.6735, 4.75367
2777	E000p	Blokker	NH	NL		52.6577, 5.10244
2778	E002p	Den Helder	NH	NL		52.9542, 4.74443
2779	E003a	Den Oever	NH	NL		52.9336, 5.02997
2780	E004p	Hippolytushoef	NH	NL		52.905, 4.96062
2781	E005p	Westerland	NH	NL		52.8874, 4.91906
2782	E006a	Breezand	NH	NL		52.8896, 4.79331
2783	E006b	Anna Paulowna	NH	NL		52.8584, 4.83184
2784	E006d	Tweewegen	NH	NL		52.8351, 4.85941
2785	E006p	Callantsoog	NH	NL		52.8368, 4.69315
2786	E007p	Petten	NH	NL		52.7614, 4.65273
2787	E008a	Sint Maartensbrug	NH	NL		52.7783, 4.72029
2788	E008b	Stolpen	NH	NL		52.82, 4.71348
2789	E008p	Schagerbrug	NH	NL		52.8, 4.75853
2790	E009a	Oudesluis	NH	NL		52.8311, 4.80491
2791	E009p	Schagen	NH	NL		52.7825, 4.79785
2792	E009q	t Wad	NH	NL		52.805, 4.82068
2793	E010p	Sint Maarten	NH	NL		52.7716, 4.74146
2794	E010z	Valkkoog	NH	NL		52.7736, 4.7733
2795	E011p	Kolhorn	NH	NL		52.7935, 4.88819
2796	E012p	Barsingerhorn	NH	NL		52.7846, 4.8446
2797	E013p	Winkel	NH	NL		52.7608, 4.91014
2798	E013q	Limmerschouw	NH	NL		52.7676, 4.88848
2799	E013z	Lutjewinkel	NH	NL		52.7485, 4.92722
2800	E014a	Opperdoes	NH	NL		52.7655, 5.07862
2801	E014p	Medemblik	NH	NL		52.7708, 5.10633
2802	E015a	Burgerbrug	NH	NL		52.743, 4.70183
2803	E015b	Dirkshorn	NH	NL		52.749, 4.7721
